Publication,learning,neural,vision
1987_1,17,9,0
1987_2,54,10,0
1987_3,12,7,0
1987_4,33,20,1
1987_5,21,24,0
1987_6,14,10,0
1987_7,0,3,5
1987_8,73,6,0
1987_9,0,4,0
1987_10,11,5,0
1987_11,0,51,0
1987_12,19,1,0
1987_13,7,12,0
1987_14,0,29,0
1987_15,9,20,0
1987_16,0,4,0
1987_17,5,1,0
1987_18,0,10,0
1987_19,0,4,0
1987_20,0,5,0
1987_21,0,19,2
1987_22,0,8,0
1987_23,7,0,0
1987_24,3,4,0
1987_25,10,10,0
1987_26,0,5,0
1987_27,26,10,0
1987_28,3,1,0
1987_29,0,1,0
1987_30,5,15,0
1987_31,2,14,0
1987_32,5,21,0
1987_33,14,9,1
1987_34,10,12,0
1987_35,51,4,0
1987_36,27,8,0
1987_37,9,1,1
1987_38,36,0,0
1987_39,1,7,0
1987_40,14,23,0
1987_41,5,15,0
1987_42,0,7,0
1987_43,2,5,0
1987_44,10,8,0
1987_45,0,2,5
1987_46,72,12,0
1987_47,10,49,0
1987_48,0,7,0
1987_49,0,5,1
1987_50,0,20,0
1987_51,0,3,0
1987_52,0,5,1
1987_53,38,29,1
1987_54,2,9,1
1987_55,2,13,0
1987_56,4,34,0
1987_57,80,2,4
1987_58,2,34,0
1987_59,0,8,0
1987_60,22,62,1
1987_61,1,4,0
1987_62,0,8,0
1987_63,19,13,0
1987_64,1,21,0
1987_65,5,1,7
1987_66,14,0,0
1987_67,62,2,0
1987_68,0,3,0
1987_69,0,9,1
1987_70,11,6,1
1987_71,3,4,0
1987_72,10,6,1
1987_73,2,0,1
1987_74,9,10,0
1987_75,0,24,0
1987_76,9,0,0
1987_77,0,28,1
1987_78,1,5,0
1987_79,13,3,0
1987_80,16,8,2
1987_81,0,16,0
1987_82,1,4,0
1987_83,32,3,0
1987_84,0,30,0
1987_85,2,7,0
1987_86,1,7,0
1987_87,1,4,9
1987_88,30,2,0
1987_89,2,0,0
1987_90,0,6,0
1988_1,28,1,0
1988_2,16,10,0
1988_3,19,1,0
1988_4,35,10,1
1988_5,49,8,0
1988_6,18,26,0
